"","year","name","firstname","lastname","position","heightfeet","heightinches","heightinchestotal","weight","arms","hands","fortyyd","twentyyd","tenyd","twentyss","threecone","vertical","broad","bench","round","college","pick","pickround","picktotal","wonderlic","nflgrade"
"1029",2012,"Michael Floyd","Michael","Floyd","WR","6","3.0000",75,220,32.875,9.375,4.47,0,1.57,4.37,7.11,36,122,16,1,"Notre Dame","13(13)","13",13,0,0
"1034",2012,"Jeff Fuller","Jeff","Fuller","WR","6","3.5000",75.5,223,33.625,9.875,4.53,2.75,1.61,4.42,7.09,32,120,17,0,"","","0",0,0,0
"1040",2012,"Chris Givens","Chris","Givens","WR","5","11.0000",71,198,31.25,8.25,4.41,0,0,4.23,6.97,33,118,19,4,"Wake Forest","1(96)","1",96,0,0
"1043",2012,"T.J. Graham","T.J.","Graham","WR","5","11.0000",71,188,32.75,9,4.41,0,1.47,4.18,6.77,33,120,8,3,"North Carolina State","6(69)","6",69,0,0
"1053",2012,"Darius Hanks","Darius","Hanks","WR","6","0.0000",72,184,31.75,9.5,4.66,0,1.57,0,0,34,117,11,0,"","","0",0,0,0
"1063",2012,"Junior Hemingway","Junior","Hemingway","WR","6","1.0000",73,225,32.5,9.625,4.53,0,1.53,3.98,6.59,35,124,21,7,"Michigan","31(238)","31",238,0,0
"1067",2012,"Stephen Hill","Stephen","Hill","WR","6","4.0000",76,215,33.375,9.375,4.34,2.52,1.5,4.51,6.89,39.5,133,14,2,"Georgia Tech","11(43)","11",43,0,0
"1069",2012,"T.Y. Hilton","T.Y.","Hilton","WR","5","10.0000",70,183,32,8.5,4.34,2.51,1.53,4.36,7.03,35.5,119,7,3,"Florida International","29(92)","29",92,0,0
"1081",2012,"Jerrell Jackson","Jerrell","Jackson","WR","6","0.0000",72,196,32.875,9.25,4.62,0,1.6,4.11,6.82,41,127,22,0,"","","0",0,0,0
"1086",2012,"Alshon Jeffery","Alshon","Jeffery","WR","6","2.8750",74.875,216,33,10.25,4.48,2.63,1.64,4.17,6.71,36.5,122,0,2,"South Carolina","13(45)","13",45,0,0
"1087",2012,"A.J. Jenkins","A.J.","Jenkins","WR","6","0.0000",72,190,32.75,9.5,4.39,0,0,4.12,6.73,38,124,12,1,"Illinois","30(30)","30",30,0,0
"1097",2012,"Dwight Jones","Dwight","Jones","WR","6","3.0000",75,230,34,9,4.55,0,1.62,0,0,33,109,14,0,"","","0",0,0,0
